"tweet_type","id","created_at","username","user_display_name","text","lang","source","retweet_count","favorite_count","reply_count","quote_count","bookmark_count","view_count","has_media","media_type","media_urls","video_url","video_duration","thumbnail_url","conversation_id_str","in_reply_to_status_id_str","in_reply_to_user_id_str","in_reply_to_screen_name","quoted_status_id_str","quoted_user_id_str","retweeted_status_id_str"
"original","2056021997659017452","2026-05-17T14:40:17.000Z","NainsiDwiv50980","Nainsi Dwivedi","http://x.com/i/article/2056018459340034048","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","64","357","28","15","1010","1068459","false","none",,,,,"2056021997659017452",,,,,,
"quote","2056022182560665602","2026-05-17T14:41:02.000Z","Suryanshti777","Suryansh Tiwari","Claude Code feels completely different once you install this.

Anthropic quietly released an official plugin called claude-code-setup and it basically turns Claude Code from “pretty good” into an actual AI dev environment.

It scans your project and recommends:

→ hooks
→ skills
→ MCP servers
→ subagents
→ automations

Then sets everything up step-by-step for you.

Most people are using Claude Code completely vanilla…

which is why their experience feels messy.

The real power comes from the ecosystem around it.

Install:

/plugin install claude-code-setup@claude-plugins-official

Bookmark this before you forget it.","en","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","427","4558","125","34","13824","1517073","true","video","https://pbs.twimg.com/ext_tw_video_thumb/2056022163141091328/pu/img/FoNu6a-z6q0k3erS.jpg","https://video.twimg.com/ext_tw_video/2056022163141091328/pu/vid/avc1/1080x1080/FfcYaXO8h75dlxtN.mp4?tag=25","11","https://pbs.twimg.com/ext_tw_video_thumb/2056022163141091328/pu/img/FoNu6a-z6q0k3erS.jpg","2056022182560665602",,,,"2056021997659017452","1994840137336066051",
"original","2055961427983151224","2026-05-17T10:39:37.000Z","Shruti_0810","Shruti Codes","SOMEONE JUST OPEN-SOURCED THE MOST INSANE CLAUDE CODE SYSTEM ON THE INTERNET.

55 AGENTS.
208 SKILLS.
72 SLASH COMMANDS.

This isn’t “a few prompts in a GitHub repo.”

This is a FULL AI OPERATING SYSTEM built after 10 MONTHS of real daily use… then stress-tested hard enough to WIN the Anthropic x Cerebral Valley hackathon.

Most people are still duct-taping random AI tools together.

This guy built the infrastructure layer underneath all of them.

You get:

→ 55 specialized agents
→ persistent memory across sessions
→ security scanner for prompt injection + config risks
→ support for Claude, Cursor, Codex, Gemini & OpenCode
→ GUI dashboard to control the entire setup
→ 1,282 tests with 98% coverage

Translation:

One install gives you an agent setup that would normally take MONTHS to build yourself.

The builders who install this this weekend will quietly gain an unfair advantage before everyone else catches on.

Free. Open source. Production-grade.

http://github.com/affaan-m/everything-claude-code

Bookmark this before AI Twitter turns it into the next gold rush.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","6","53","11","0","58","4018","true","photo","https://pbs.twimg.com/media/HIg-A9JaAAAuEyM.jpg",,,"https://pbs.twimg.com/media/HIg-A9JaAAAuEyM.jpg","2055961427983151224",,,,,,
"original","2055712886790701226","2026-05-16T18:12:00.000Z","techNmak","Tech with Mak","Andrej Karpathy wrote something that every Claude Code user has felt but couldn't articulate.

Three quotes. Read them slowly.

""The models make wrong assumptions on your behalf and just run along with them without checking. They don't manage their confusion, don't seek clarifications, don't surface inconsistencies, don't present tradeoffs, don't push back when they should.""

""They really like to overcomplicate code and APIs, bloat abstractions, don't clean up dead code... implement a bloated construction over 1000 lines when 100 would do.""

""They still sometimes change/remove comments and code they don't sufficiently understand as side effects, even if orthogonal to the task.""

You've seen all three. Probably this week.

Someone turned these three observations into a single CLAUDE[.]md file. Four principles, one install, directly addresses each quote:

1./ Think before coding
Don't assume. Don't hide confusion. State ambiguity explicitly. Present multiple interpretations rather than silently picking one. Push back if a simpler approach exists. Stop and ask rather than guess.

2./ Simplicity first
No features beyond what was asked. No abstractions for single-use code. No ""flexibility"" that wasn't requested. No error handling for impossible scenarios. The test: would a senior engineer say this is overcomplicated? If yes, rewrite it.

3./ Surgical changes
Don't ""improve"" adjacent code. Don't refactor things that aren't broken. Match the existing style even if you'd do it differently. If you notice unrelated dead code, mention it, don't delete it. Every changed line should trace directly to the request.

4./ Goal-driven execution
Transform ""fix the bug"" into ""write a test that reproduces it, then make it pass."" Transform ""add validation"" into ""write tests for invalid inputs, then make them pass."" Give it success criteria and watch it loop until done.

This last one is Karpathy's key insight captured directly: ""LLMs are exceptionally good at looping until they meet specific goals... Don't tell it what to do, give it success criteria and watch it go.""

It's a single file. Drop it into any project.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","78","997","25","6","2196","89074","true","photo","https://pbs.twimg.com/media/HIdb4cMaEAAyOW0.jpg",,,"https://pbs.twimg.com/media/HIdb4cMaEAAyOW0.jpg","2055712886790701226",,,,,,
"original","2054955621829443903","2026-05-14T16:02:54.000Z","Mnilax","Mnimiy","http://x.com/i/article/2054929277317939200","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","20","160","9","2","414","124748","false","none",,,,,"2054955621829443903",,,,,,
"quote","2054997650160885841","2026-05-14T18:49:54.000Z","Mnilax","Mnimiy","you can write a perfect CLAUDE.md today and it will still be lying to Claude in three months.

not because you wrote it wrong. because the file is static and your work isn't.

a correction you made once becomes a permanent rule. a project name goes stale.

a preference you typed in January quietly contradicts one you typed in March. the file never changes. you do.

writing a good CLAUDE.md is a solved problem. keeping it true to how you actually work is the part nobody has a process for.

i gave myself one: it reads 100 of my past Claude Code sessions and rewrites the file from what the transcripts show, not from what i remember typing.

the result on my own setup:
> 73% of my CLAUDE.md got deleted on the first pass
> most of it was one-off corrections that had hardened into rules
> four patterns i had never written down got surfaced instead
> one of them: i correct Claude's prose 8.2x more than its code

the keep list was 38 lines. the delete list taught me more.

learn to write the file from the video. then read the article for the part that comes after: keeping it honest.

a CLAUDE.md you never audit isn't a memory file. it's a museum.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","30","208","16","3","297","33511","true","video","https://pbs.twimg.com/amplify_video_thumb/2054996312110583809/img/i1FUKVT62N1o4LAJ.jpg","https://video.twimg.com/amplify_video/2054996312110583809/vid/avc1/2560x1440/EFjC4CFp_wOCd5k1.mp4?tag=27","177","https://pbs.twimg.com/amplify_video_thumb/2054996312110583809/img/i1FUKVT62N1o4LAJ.jpg","2054997650160885841",,,,"2054955621829443903","1062361511866327041",
"original","2055035402294046731","2026-05-14T21:19:55.000Z","defileo","Defileo🔮","http://x.com/i/article/2055017221940727808","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","17","156","13","6","338","160115","false","none",,,,,"2055035402294046731",,,,,,
"original","2054915602171723992","2026-05-14T13:23:52.000Z","akshay_pachaar","Akshay 🚀","http://x.com/i/article/2054806436883070977","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","48","276","9","8","502","55790","false","none",,,,,"2054915602171723992",,,,,,
"original","2054568935274549597","2026-05-13T14:26:20.000Z","AnatoliKopadze","Anatoli Kopadze","http://x.com/i/article/2053512889529413634","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1133","6800","166","148","28255","20221995","false","none",,,,,"2054568935274549597",,,,,,
"quote","2054927850541588792","2026-05-14T14:12:32.000Z","polydao","Mr. Buzzoni","the skill gap between $95K and $300K right now is Claude Opus agent architecture

this 2-hour guide closes that gap

companies are paying $150K-300K/year for engineers who know this
most of them have no idea this guide exists

watch it. build it. charge for it","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","137","1347","19","5","3873","231940","true","video","https://pbs.twimg.com/amplify_video_thumb/2054926734705778689/img/nR44XNGbADahzezW.jpg","https://video.twimg.com/amplify_video/2054926734705778689/vid/avc1/1920x1080/d8Q32eZvycFmhbCy.mp4?tag=27","7192","https://pbs.twimg.com/amplify_video_thumb/2054926734705778689/img/nR44XNGbADahzezW.jpg","2054927850541588792",,,,"2054568935274549597","839423932184870914",
"original","2018712721538081170","2026-02-03T15:46:33.000Z","techNmak","Tech with Mak","10x isn't a talent anymore. It's a config file for Claude Code.","en","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","213","2649","57","7","4228","248898","true","photo","https://pbs.twimg.com/media/HAPogugboAEDOZV.jpg",,,"https://pbs.twimg.com/media/HAPogugboAEDOZV.jpg","2018712721538081170",,,,,,
"original","2027463795355095314","2026-02-27T19:20:11.000Z","trq212","Thariq","http://x.com/i/article/2027446899310313472","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1388","11170","248","230","28539","3987530","false","none",,,,,"2027463795355095314",,,,,,
"original","2011803318709076000","2026-01-15T14:11:03.000Z","melvynx","Melvyn • Builder","urgent pro tips with Claude Code :

• add a http://CLAUDE.md rules asking AI to NEVER use `rm -rf` and instead use `trash`
• install trash CLI `brew install trash`
• add a Claude Code hooks to refuse any command with rm -rf","en","<a href=""https://typefully.com/"" rel=""nofollow"">Typefully</a>","88","1721","101","25","2391","201488","true","photo","https://pbs.twimg.com/media/G-tcdQibQAMdR2c.png",,,"https://pbs.twimg.com/media/G-tcdQibQAMdR2c.png","2011803318709076000",,,,,,
"original","2008018043205460106","2026-01-05T03:29:43.000Z","0xDesigner","0xDesigner","10 useful beginner tips if you’re a non-technical new to claude code:

1. use plan mode (shift + tab)
2. write “ultrathink” in your prompts to make claude smarter
3. be selective with ultrathink, it slows you down and fills the context window
4. use “/“ and explore all the slash commands
5. hit “esc” twice to undo code or restore conversation from a different point
6. after claude writes code simply ask it “run dev” to see what it made locally
7. type “/init” to create project instructions
8. use claude code chrome extension (start claude in the terminal with “claude —chrome”) so it can see issues for itself
9. pick up an old thread by running “claude —resume”
10. hit “esc” while claude it working to interrupt it

bonus: use claude code in the cursor terminal, hit [ctrl + shift + ~] to open a new terminal and then drag the terminal shell with your mouse to the center of the window and you now have full screen claude code in cursor.","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","32","555","31","3","930","39042","false","none",,,,,"2008018043205460106",,,,,,
"original","2025920521871716562","2026-02-23T13:07:46.000Z","elvissun","Elvis","http://x.com/i/article/2025654698590748672","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","1621","12581","401","293","37618","5400133","false","none",,,,,"2025920521871716562",,,,,,
"original","2011346216496611687","2026-01-14T07:54:41.000Z","Ibelick","Ibelick","/ui-skills now installable via

curl -fsSL https://ui-skills.com/install | bash","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","48","1117","18","4","1591","82268","true","photo","https://pbs.twimg.com/media/G-m8amyWcAAV7TW.jpg",,,"https://pbs.twimg.com/media/G-m8amyWcAAV7TW.jpg","2011346216496611687",,,,,,
"original","2007400556898463824","2026-01-03T10:36:03.000Z","iannuttall","Ian Nuttall","what's everybody using for global agent rules/instructions now?

- AGENT.⁠md/CLAUDE.⁠md
- SKILL.⁠md
- something else

example: should my commit rules be in a global file loaded into context on every request (in theory!) or a skill that gets loaded when i say ""commit this""?","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","2","193","40","3","306","215008","false","none",,,,,"2007400556898463824",,,,,,
"quote","2007752112361685197","2026-01-04T09:53:00.000Z","elliotarledge","Elliot Arledge","~ ❯ cat ~/.claude/CLAUDE.md
<claude-instructions>

<python>
  Use uv for everything: uv run, uv pip, uv venv.
</python>

<principles>
  <style>No emojis. No em dashes - use hyphens or colons instead.</style>

  <epistemology>
    Assumptions are the enemy. Never guess numerical values - benchmark instead of estimating.
    When uncertain, measure. Say ""this needs to be measured"" rather than inventing statistics.
  </epistemology>

  <scaling>
    Validate at small scale before scaling up. Run a sub-minute version first to verify the
    full pipeline works. When scaling, only the scale parameter should change.
  </scaling>

  <interaction>
    Clarify unclear requests, then proceed autonomously. Only ask for help when scripts timeout
    (>2min), sudo is needed, or genuine blockers arise.
  </interaction>

  <ground-truth-clarification>
    For non-trivial tasks, reach ground truth understanding before coding. Simple tasks execute
    immediately. Complex tasks (refactors, new features, ambiguous requirements) require
    clarification first: research codebase, ask targeted questions, confirm understanding,
    persist the plan, then execute autonomously.
  </ground-truth-clarification>

  <spec-driven-development>
    When starting a new project, after compaction, or when http://SPEC.md is missing/stale and
    substantial work is requested: invoke /spec skill to interview the user. The spec persists
    across compactions and prevents context loss. Update http://SPEC.md as the project evolves.
    If stuck or losing track of goals, re-read http://SPEC.md or re-interview.
  </spec-driven-development>

  <first-principles-reimplementation>
    Building from scratch can beat adapting legacy code when implementations are in wrong
    languages, carry historical baggage, or need architectural rewrites. Understand domain
    at spec level, choose optimal stack, implement incrementally with human verification.
  </first-principles-reimplementation>

  <constraint-persistence>
    When user defines constraints (""never X"", ""always Y"", ""from now on""), immediately persist
    to project's local http://CLAUDE.md. Acknowledge, write, confirm.
  </constraint-persistence>
</principles>

<machines>
  `ssh macbook` - MacBook Pro
  `ssh theodolos` - local workstation, RTX 3090
  Check which machine we are currently on before using these.
</machines>

</claude-instructions>","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","78","1580","15","5","2940","176752","false","none",,,,,"2007752112361685197",,,,"2007400556898463824","9111552",
"original","2010655002172571721","2026-01-12T10:08:03.000Z","DataChaz","Charly Wargnier","Wow, such a great open-source drop!

Put Claude on steroids with 120+ scientific skills spanning maths, biology, chemistry, medicine, engineering, &amp; more 🤯

If you’ve ever wanted Claude to act like a research assistant, this gets very close.

Free and open source.

Repo in 🧵↓","en","<a href=""https://typefully.com/"" rel=""nofollow"">Typefully</a>","156","1189","18","4","1820","81742","true","photo","https://pbs.twimg.com/media/G-dIEdraIAAPSR3.png",,,"https://pbs.twimg.com/media/G-dIEdraIAAPSR3.png","2010655002172571721",,,,,,
"original","1999965965212348879","2025-12-13T22:13:38.000Z","nummanali","Numman Ali","If you want to have Opus 4.5 at it's MAX in Claude Code

Update ~/.claude/settings.json 
{
  ""env"": {
    ""CLAUDE_CODE_MAX_OUTPUT_TOKENS"": ""64000"",
    ""MAX_THINKING_TOKENS"": ""31999""
  }
}

- double the output
- ultrathink always on

Ctrl+O will show thinking in verbose mode","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","129","1934","57","9","2670","158292","false","none",,,,,"1999965965212348879",,,,,,
"original","2030089465679728763","2026-03-07T01:13:40.000Z","chintanturakhia","Chintan Turakhia","Run this prompt frequently.

You're welcome.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","314","6894","121","55","9501","913773","true","photo","https://pbs.twimg.com/media/HCxTiTyaUAILTCN.png",,,"https://pbs.twimg.com/media/HCxTiTyaUAILTCN.png","2030089465679728763",,,,,,
"quote","2030253594708967785","2026-03-07T12:05:51.000Z","gregisenberg","GREG ISENBERG","This is smart. You can also try /insights","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","103","1974","56","5","2355","190186","false","none",,,,,"2030253594708967785",,,,"2030089465679728763","82279208",
"original","2000303161962344701","2025-12-14T20:33:32.000Z","nummanali","Numman Ali","Wow - ALL of Claude Code system prompts and fully up to date

This repo is an absolute goldmine, star it and fork it now

https://github.com/Piebald-AI/claude-code-system-prompts

Courtesy of @PiebaldAI - the makers of tweakcc (more on that later)","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","113","1007","20","1","1868","88415","false","none",,,,,"2000303161962344701",,,,,,
"original","2025632913090310220","2026-02-22T18:04:55.000Z","simplifyinAI","Simplifying AI","Someone finally solved AI context rot 🤯

Get-Shit-Done is a new open source tool that turns Claude Code and Gemini CLI into absolute monsters.

It breaks your project into phases, clears the context, and uses parallel agents to build it perfectly with zero accumulated garbage.

100% Open Source.","en","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","132","1038","40","10","1758","76329","true","photo","https://pbs.twimg.com/media/HBx-ZhgWwAA-ILw.jpg",,,"https://pbs.twimg.com/media/HBx-ZhgWwAA-ILw.jpg","2025632913090310220",,,,,,
"original","2010418240523022496","2026-01-11T18:27:14.000Z","maksym_andr","Maksym Andriushchenko","Like everyone else, I also got excited about Claude Code + Opus 4.5. This led me to update my scientific writing workflow over the holidays:
- Claude Code Max ($200/month) with Opus 4.5 and variable levels of thinking (e.g., ultrathink for the hardest tasks like literature overviews). Yes, the $20/month subscription is not enough.
- Most useful for coding (quick experiments, data analysis, websites) and writing (papers, blog posts, grants, recommendation letters; unless this is explicitly forbidden).
- Run Claude Code locally in your LaTeX repository and sync with Overleaf via the Git + Overleaf integration. If there is a merge conflict due to simultaneous changes in the web version of Overleaf, use Claude Code to resolve merge conflicts.
- Run multiple Claude Code instances in parallel as some tasks take a while (e.g., a literature overview with `ultrathink` can take ~10 min). Note: simultaneous updates by multiple agents are fine, since Claude Code uses a diff-based approach (so it basically ends up like simultaneous edits in a Google Doc).
- Always provide YOUR input to Claude Code, in most cases raw bullet points or already existing artifacts (e.g., a blog post, GitHub repo, etc.). Context engineering is always key here.
- Always carefully check outputs. YOU are responsible for all mistakes, hallucinations, etc.
- Keep CLAUDE .md up-to-date and manually add detailed guidance (say, ~2-3 pages) on scientific writing, style, structure, etc.
- Enable ""Verbose output"" as sometimes Claude can misunderstand you or simply be wrong about something. It's faster to catch this in the terminal rather than later on.
- Use screenshots from a compiled PDF to insert back into Claude Code to provide the right context for any LaTeX-related changes (note: inserting images is Control+V instead of Command+V on Mac).

Tips:
- Claude Code is great for polishing papers: catching typos, logical inconsistencies, mismatches in numbers, etc. Making a thorough pass over the whole paper is very costly for humans, but very quick and cheap for LLMs.
- Also, Claude Code is great at converting between different formats. If a paper is already written, creating a blog post or poster is just one prompt + post-hoc polishing. This saves a lot of time!

As a result, CLI agents like Claude Code allow people to allocate more time for *actual thinking* instead of spending lots of time on ""low-level"" writing and debugging latex (as I did during my PhD!).

Frontier LLM agents still have limitations, though:
- Lack of up-to-date world knowledge (e.g., May 2025 for Opus 4.5, which is obviously pretty bad for AI research that moves very fast). This can be mitigated to some extent by forcing an LLM to use web search for narrow use cases or relying on an already written and verified related work section.
- Lack of project context (e.g., all discussions throughout a project's lifetime that happen in different ways: in-person, over Slack/email/GitHub, etc.).
- Imperfect tools (e.g., some websites are fetched only partially, which can introduce subtle errors).
- Lack of research taste (which is why using LLMs for reviewing is still a very bad idea!).

Interestingly, none of these limitations are due to the lack of relevant capabilities (maybe except the research taste one - will it be an emergent capability of some sort?). Hallucinations are quite rare. Tool use feels very natural and intuitive. Most of the limitations above are due to the lack of continual learning and limited context window.

Would be curious to hear what kind of workflows others came up with!","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","37","527","28","3","790","67551","false","none",,,,,"2010418240523022496",,,,,,
"original","2007839718986358897","2026-01-04T15:41:07.000Z","GuarEmperor","GE","Holly molly this good article ""Vibe Code"" 

There are many explanations, tips and tricks regarding Claude Code AI to improve your programming.

https://sankalp.bearblog.dev/my-experience-with-claude-code-20-and-how-to-get-better-at-using-coding-agents/

Also found this banger article from many ct

https://www.citriniresearch.com/p/26-trades-for-2026

https://vitalik.eth.limo/general/2025/12/30/balance_of_power.html

https://katechon99.substack.com/p/2026-looking-back-and-looking-ahead

https://fs.blog/second-order-thinking/

https://vectorculture.substack.com/p/not-for-human-consumption

https://0xsmac.substack.com/p/two-kites-dancing-in-a-hurricane

https://substack.com/inbox/post/183120033

https://0xkyle.substack.com/p/the-2026-gameplan

Done read all article substack now time to rest","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","233","2487","78","8","4179","206190","true","photo","https://pbs.twimg.com/media/G91GSz0bQAAszLm.png",,,"https://pbs.twimg.com/media/G91GSz0bQAAszLm.png","2007839718986358897",,,,,,
"reply","2006908010392858960","2026-01-02T01:58:50.000Z","minimaxir","Max Woolf","ok, fine, here's the CLAUDE[.]md, don't say I didn't warn you:

Python: https://gist.github.com/minimaxir/c274d7cc12f683d93df2b1cc5bab853c

Rust:  https://gist.github.com/minimaxir/23ee55a83633ac0b6b92de635291ad80","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","5","121","6","0","334","8362","false","none",,,,,"2006861912764723287","2006861912764723287","145057047","minimaxir",,,
"original","2011857112939544991","2026-01-15T17:44:48.000Z","arvidkahl","Arvid Kahl","Nothing, absolutely NOTHING stops you from creating a Claude Code skill named /security-check, adding a one-liner like ""Thoroughly investigate the current feature for security problems, permission gaps. Act like a red-team pen-tester. Suggest fixes.""

Run before you commit.","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","130","3314","124","17","3173","176469","false","none",,,,,"2011857112939544991",,,,,,
"original","2006723844762120341","2026-01-01T13:47:02.000Z","seconds_0","0.005 Seconds (3/694)","The harnesses are still not optimally utilizing the models

Everyone rightfully loves claude code right now, but it is clear to me it is underutilizing the capability of opus. 

The lowest hanging fruit is /init in existing code bases. It does a good job of building it's http://claude.md but it neglects identifying and building out relevant skills! There are enormous unlocks available when the model can identify it will benefit from a skill, or a subagent+skill, or a skilltree, and construct it automatically as part of setup but more importantly as part of continuous iteration

the harness should be seeking opportunities for whenever it makes mistakes to patch those mistakes in its own thinking with skills and protections and reminders to research things!

This is one of the major powerlevel gaps between experienced users and the unfamiliar. I am constantly prompting claude to update all of our relevant skills and http://claude.md whenever we finish a task or a bug. The harness begins to form to the codebase while at the same time shaping it back, making a much more usable and effective tool","en","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","19","461","23","2","400","33127","false","none",,,,,"2006723844762120341",,,,,,
"original","2053422550567502046","2026-05-10T10:31:01.000Z","heynavtoor","Nav Toor","http://x.com/i/article/2052947796701949953","zxx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","62","473","9","10","2176","335893","false","none",,,,,"2053422550567502046",,,,,,
